City_ID,City.1,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,47.01,95,83,3.0,NZ,1683653839
83,blackmans bay,-43.0167,147.3167,50.74,81,87,11.43,AU,1683653839
84,port elizabeth,-33.918,25.5701,63.1,94,0,0.0,ZA,1683653647
85,ilulissat,69.2167,-51.1,32.02,80,75,8.05,GL,1683653840
86,kingston,17.997,-76.7936,90.25,63,20,27.63,JM,1683653543
87,aioun,16.6614,-9.6149,98.87,20,100,8.46,MR,1683653841
88,sinabang,2.4803,96.3801,80.46,78,81,4.9,ID,1683653842
89,luanda,-8.8368,13.2343,84.2,79,0,9.22,AO,1683653842
90,badger,64.8,-147.5333,44.51,44,75,0.0,US,1683653843
91,thompson,55.7435,-97.8558,66.36,42,20,8.05,CA,1683653758
92,anadyr,64.75,177.4833,14.5,92,100,8.95,RU,1683653844
93,saipan,15.1355,145.701,81.3,100,75,8.05,MP,1683653811
94,djibo,14.1022,-1.6306,103.03,12,92,1.99,BF,1683653845
95,al jawf,29.5,38.75,77.76,21,4,6.87,SA,1683653845
96,georgetown,5.4112,100.3354,85.95,83,20,3.44,MY,1683653649
97,fisterra,42.9049,-9.2629,67.01,75,0,16.13,ES,1683653847
98,waitara,-38.925,174.25,63.23,91,24,24.23,NZ,1683653848
99,macau,22.2006,113.5461,75.0,83,20,16.11,MO,1683653849
100,gadzhiyevo,69.2551,33.3362,33.3,99,100,4.03,RU,1683653849
101,vorgashor,67.5833,63.95,17.17,99,90,2.84,RU,1683653850
102,margaret river,-33.95,115.0667,65.53,74,12,24.58,AU,1683653851
103,ust-nera,64.5667,143.2,22.77,73,56,7.74,RU,1683653851
104,hobyo,5.3505,48.5268,82.53,80,89,25.14,SO,1683653852
105,kontcha,7.9667,12.2333,89.1,40,100,6.76,CM,1683653853
106,st. john's,47.5649,-52.7093,41.14,86,100,23.02,CA,1683653854
107,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,100,75,4.47,RU,1683653854
108,flin flon,54.7682,-101.865,55.24,58,75,6.91,CA,1683653855
109,faya-largeau,17.9257,19.1043,95.2,10,97,7.43,TD,1683653856
110,rakops,-21.0167,24.3333,73.08,33,0,3.38,BW,1683653856
111,the bottom,17.6259,-63.2492,86.56,73,41,17.65,BQ,1683653856
112,lerwick,60.1545,-1.1494,48.2,95,98,3.38,GB,1683653857
113,pisco,-13.7,-76.2167,73.45,73,75,10.36,PE,1683653696
114,kloulklubed,7.0419,134.2556,75.7,74,100,1.39,PW,1683653857
115,qaqortoq,60.7167,-46.0333,34.45,93,99,2.55,GL,1683653857
116,san patricio,28.017,-97.5169,82.26,80,100,7.76,US,1683653858
117,saint-pierre,-21.3393,55.4781,76.68,69,0,14.97,RE,1683653858
118,aitape,-3.1374,142.3475,78.93,90,100,3.6,PG,1683653858
119,antsiranana,-12.2787,49.2917,77.27,77,0,13.0,MG,1683653859
120,arraial do cabo,-22.9661,-42.0278,82.36,74,0,14.97,BR,1683653859
121,tazovsky,67.4667,78.7,9.27,96,51,4.97,RU,1683653710
122,alice springs,-23.7,133.8833,35.15,69,0,7.52,AU,1683653859
123,paciran,-6.8767,112.3761,78.98,88,100,5.91,ID,1683653860
124,yarmouth,41.7057,-70.2286,59.61,59,0,9.22,US,1683653679
125,itamaraca,-7.7478,-34.8256,86.05,69,62,10.36,BR,1683653860
126,carnarvon,-24.8667,113.6333,71.28,81,95,8.08,AU,1683653861
127,bilibino,68.0546,166.4372,22.21,95,100,2.51,RU,1683653861
128,southside,33.9245,-86.0225,82.47,77,75,9.22,US,1683653861
129,santyoku,37.4406,129.1708,57.11,63,9,8.79,KR,1683653862
130,west island,-12.1568,96.8225,81.36,83,21,18.9,CC,1683653862
131,gagliano del capo,39.8442,18.3695,64.81,88,0,3.44,IT,1683653862
132,el haouaria,37.05,11.0144,68.02,84,15,8.75,TN,1683653863
133,pokhara,28.2333,83.9833,70.09,22,3,8.3,NP,1683653863
134,mili,6.0815,171.735,80.46,80,100,3.78,MH,1683653864
135,kavaratti,10.5669,72.642,85.08,56,48,6.17,IN,1683653864
136,yoko,5.5333,12.3167,70.66,85,98,2.55,CM,1683653864
137,glina,44.3833,26.25,53.2,76,20,10.36,RO,1683653865
138,belyy yar,53.6039,91.3903,66.09,30,0,6.71,RU,1683653865
139,namibe,-15.1961,12.1522,75.45,81,2,7.02,AO,1683653865
140,labrador city,52.9463,-66.9114,30.11,64,100,11.5,CA,1683653866
141,at taj,24.2049,23.2857,80.37,11,82,2.93,LY,1683653866
142,pacific grove,36.6177,-121.9166,61.9,74,40,5.01,US,1683653867
143,sukhoy log,56.9094,62.0296,40.87,36,0,2.35,RU,1683653867
